"predef_unique","Freq"
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
"Tetramesa sp. 1",2
"Tetramesa sp. 4",2
"Tetramesa sp. 7",2
